"Season","Daynum","Wteam","Wscore","Lteam","Lscore","Wloc","Numot","WinningTeam","LosingTeam","WinningTeamSeed","LosingTeamSeed"
"1987","136","1276","97","1298","82","N","0","Michigan","Navy","09","08"
"1987","136","1309","83","1140","79","N","0","New Orleans","BYU","07","10"
"1987","136","1314","113","1335","82","N","0","North Carolina","Penn","01","16"
"1987","136","1323","84","1292","71","N","0","Notre Dame","MTSU","05","12"
"1987","136","1344","90","1412","68","N","0","Providence","UAB","06","11"
"1987","136","1395","76","1267","60","N","0","TCU","Marshall","04","13"
"1987","136","1417","92","1141","73","N","0","UCLA","C Michigan","04","13"
"1987","136","1424","95","1226","70","N","0","UNLV","Idaho St","01","16"
"1987","136","1461","64","1438","60","N","0","Wyoming","Virginia","12","05"
"1987","136","1462","70","1281","69","N","0","Xavier","Missouri","13","04"
"1987","137","1177","76","1256","62","N","0","DePaul","Louisiana Tech","03","14"
"1987","137","1196","82","1301","70","N","0","Florida","NC State","06","11"
"1987","137","1207","75","1137","53","N","0","Georgetown","Bucknell","01","16"
"1987","137","1234","99","1365","76","N","0","Iowa","Santa Clara","02","15"
"1987","137","1242","66","1222","55","N","0","Kansas","Houston","05","12"
"1987","137","1261","85","1210","79","N","0","LSU","Georgia Tech","10","07"
"1987","137","1283","65","1155","60","N","0","Missouri St","Clemson","13","04"
"1987","137","1326","91","1246","77","N","0","Ohio St","Kentucky","09","08"
"1987","137","1328","74","1409","69","N","0","Oklahoma","Tulsa","06","11"
"1987","137","1338","93","1265","68","N","0","Pittsburgh","Marist","03","14"
"1987","137","1345","104","1318","95","N","0","Purdue","Northeastern","03","14"
"1987","137","1385","57","1455","55","N","0","St John's","Wichita St","06","11"
"1987","137","1393","79","1204","73","N","0","Syracuse","Ga Southern","02","15"
"1987","137","1396","75","1380","56","N","0","Temple","Southern Univ","02","15"
"1987","137","1431","98","1112","91","N","1","UTEP","Arizona","07","10"
"1987","137","1443","64","1452","62","N","0","WKU","West Virginia","10","07"
"1987","138","1104","101","1309","76","N","0","Alabama","New Orleans","02","07"
"1987","138","1181","65","1462","60","N","0","Duke","Xavier","05","13"
"1987","138","1231","107","1120","90","N","0","Indiana","Auburn","01","08"
"1987","138","1314","109","1276","97","N","0","North Carolina","Michigan","01","09"
"1987","138","1323","58","1395","57","N","0","Notre Dame","TCU","05","04"
"1987","138","1344","90","1122","87","N","1","Providence","Austin Peay","06","14"
"1987","138","1424","80","1243","61","N","0","UNLV","Kansas St","01","09"
"1987","138","1461","78","1417","68","N","0","Wyoming","UCLA","12","04"
"1987","139","1177","83","1385","75","N","1","DePaul","St John's","03","06"
"1987","139","1196","85","1345","66","N","0","Florida","Purdue","06","03"
"1987","139","1207","82","1326","79","N","0","Georgetown","Ohio St","01","09"
"1987","139","1234","84","1431","82","N","0","Iowa","UTEP","02","07"
"1987","139","1242","67","1283","63","N","0","Kansas","Missouri St","05","13"
"1987","139","1261","72","1396","62","N","0","LSU","Temple","10","02"
"1987","139","1328","96","1338","93","N","0","Oklahoma","Pittsburgh","06","03"
"1987","139","1393","104","1443","86","N","0","Syracuse","WKU","02","10"
"1987","143","1207","70","1242","57","N","0","Georgetown","Kansas","01","05"
"1987","143","1314","74","1323","68","N","0","North Carolina","Notre Dame","01","05"
"1987","143","1344","103","1104","82","N","0","Providence","Alabama","06","02"
"1987","143","1393","87","1196","81","N","0","Syracuse","Florida","02","06"
"1987","144","1231","88","1181","82","N","0","Indiana","Duke","01","05"
"1987","144","1234","93","1328","91","N","1","Iowa","Oklahoma","02","06"
"1987","144","1261","63","1177","58","N","0","LSU","DePaul","10","03"
"1987","144","1424","92","1461","78","N","0","UNLV","Wyoming","01","12"
"1987","145","1344","88","1207","73","N","0","Providence","Georgetown","06","01"
"1987","145","1393","79","1314","75","N","0","Syracuse","North Carolina","02","01"
"1987","146","1231","77","1261","76","N","0","Indiana","LSU","01","10"
"1987","146","1424","84","1234","81","N","0","UNLV","Iowa","01","02"
"1987","152","1231","97","1424","93","N","0","Indiana","UNLV","01","01"
"1987","152","1393","77","1344","63","N","0","Syracuse","Providence","02","06"
"1987","154","1231","74","1393","73","N","0","Indiana","Syracuse","01","02"
"1988","136","1120","90","1133","86","N","0","Auburn","Bradley","08","09"
"1988","136","1140","98","1150","92","N","1","BYU","Charlotte","04","13"
"1988","136","1177","83","1455","62","N","0","DePaul","Wichita St","05","12"
"1988","136","1181","85","1131","69","N","0","Duke","Boston Univ","02","15"
"1988","136","1196","62","1385","59","N","0","Florida","St John's","06","11"
"1988","136","1243","66","1247","53","N","0","Kansas St","La Salle","04","13"
"1988","136","1257","70","1333","61","N","0","Louisville","Oregon St","05","12"
"1988","136","1258","119","1461","115","N","0","Loy Marymount","Wyoming","10","07"
"1988","136","1272","75","1124","60","N","0","Memphis","Baylor","09","08"
"1988","136","1276","63","1129","58","N","0","Michigan","Boise St","03","14"
"1988","136","1314","83","1317","65","N","0","North Carolina","North Texas","02","15"
"1988","136","1328","94","1151","66","N","0","Oklahoma","Chattanooga","01","16"
"1988","136","1345","94","1192","79","N","0","Purdue","F Dickinson","01","16"
"1988","136","1348","87","1281","80","N","0","Rhode Island","Missouri","11","06"
"1988","136","1374","83","1323","75","N","0","SMU","Notre Dame","07","10"
"1988","136","1393","69","1299","55","N","0","Syracuse","NC A&T","03","14"
"1988","137","1112","90","1165","50","N","0","Arizona","Cornell","01","16"
"1988","137","1207","66","1261","63","N","0","Georgetown","LSU","08","09"
"1988","137","1210","90","1235","78","N","0","Georgia Tech","Iowa St","05","12"
"1988","137","1228","81","1427","72","N","0","Illinois","UT San Antonio","03","14"
"1988","137","1234","102","1199","98","N","0","Iowa","Florida St","05","12"
"1988","137","1242","85","1462","72","N","0","Kansas","Xavier","06","11"
"1988","137","1246","99","1380","84","N","0","Kentucky","Southern Univ","02","15"
"1988","137","1268","92","1364","82","N","0","Maryland","Santa Barbara","07","10"
"1988","137","1293","78","1301","75","N","0","Murray St","NC State","14","03"
"1988","137","1338","108","1185","90","N","0","Pittsburgh","E Michigan","02","15"
"1988","137","1350","72","1231","69","N","0","Richmond","Indiana","13","04"
"1988","137","1371","80","1431","64","N","0","Seton Hall","UTEP","08","09"
"1988","137","1396","87","1250","73","N","0","Temple","Lehigh","01","16"
"1988","137","1424","54","1283","50","N","0","UNLV","Missouri St","04","13"
"1988","137","1435","80","1429","77","N","0","Vanderbilt","Utah St","07","10"
"1988","137","1437","82","1116","74","N","0","Villanova","Arkansas","06","11"
"1988","138","1181","94","1374","79","N","0","Duke","SMU","02","07"
"1988","138","1243","66","1177","58","N","0","Kansas St","DePaul","04","05"
"1988","138","1257","97","1140","76","N","0","Louisville","BYU","05","04"
"1988","138","1276","108","1196","85","N","0","Michigan","Florida","03","06"
"1988","138","1314","123","1258","97","N","0","North Carolina","Loy Marymount","02","10"
"1988","138","1328","107","1120","87","N","0","Oklahoma","Auburn","01","08"
"1988","138","1345","100","1272","73","N","0","Purdue","Memphis","01","09"
"1988","138","1348","97","1393","94","N","0","Rhode Island","Syracuse","11","03"
"1988","139","1112","84","1371","55","N","0","Arizona","Seton Hall","01","08"
"1988","139","1234","104","1424","86","N","0","Iowa","UNLV","05","04"
"1988","139","1242","61","1293","58","N","0","Kansas","Murray St","06","14"
"1988","139","1246","90","1268","81","N","0","Kentucky","Maryland","02","07"
"1988","139","1350","59","1210","55","N","0","Richmond","Georgia Tech","13","05"
"1988","139","1396","74","1207","53","N","0","Temple","Georgetown","01","08"
"1988","139","1435","80","1338","74","N","1","Vanderbilt","Pittsburgh","07","02"
"1988","139","1437","66","1228","63","N","0","Villanova","Illinois","06","03"
"1988","143","1181","73","1348","72","N","0","Duke","Rhode Island","02","11"
"1988","143","1328","108","1257","98","N","0","Oklahoma","Louisville","01","05"
"1988","143","1396","69","1350","47","N","0","Temple","Richmond","01","13"
"1988","143","1437","80","1246","74","N","0","Villanova","Kentucky","06","02"
"1988","144","1112","99","1234","79","N","0","Arizona","Iowa","01","05"
"1988","144","1242","77","1435","64","N","0","Kansas","Vanderbilt","06","07"
"1988","144","1243","73","1345","70","N","0","Kansas St","Purdue","04","01"
"1988","144","1314","78","1276","69","N","0","North Carolina","Michigan","02","03"
"1988","145","1181","63","1396","53","N","0","Duke","Temple","02","01"
"1988","145","1328","78","1437","59","N","0","Oklahoma","Villanova","01","06"
"1988","146","1112","70","1314","52","N","0","Arizona","North Carolina","01","02"
"1988","146","1242","71","1243","58","N","0","Kansas","Kansas St","06","04"
"1988","152","1242","66","1181","59","N","0","Kansas","Duke","06","02"
"1988","152","1328","86","1112","78","N","0","Oklahoma","Arizona","01","01"
"1988","154","1242","83","1328","79","N","0","Kansas","Oklahoma","06","01"
"1989","136","1112","94","1352","60","N","0","Arizona","Robert Morris","01","16"
"1989","136","1116","120","1258","101","N","0","Arkansas","Loy Marymount","05","12"
"1989","136","1123","68","1338","64","N","0","Ball St","Pittsburgh","09","08"
"1989","136","1155","83","1388","70","N","0","Clemson","St Mary's CA","09","08"
"1989","136","1177","66","1272","63","N","0","DePaul","Memphis","12","05"
"1989","136","1181","90","1354","69","N","0","Duke","S Carolina St","02","15"
"1989","136","1228","77","1270","71","N","0","Illinois","McNeese St","01","16"
"1989","136","1256","83","1247","74","N","0","Louisiana Tech","La Salle","09","08"
"1989","136","1257","76","1114","71","N","0","Louisville","Ark Little Rock","04","13"
"1989","136","1278","86","1243","75","N","0","Minnesota","Kansas St","11","06"
"1989","136","1292","97","1199","83","N","0","MTSU","Florida St","13","04"
"1989","136","1328","72","1190","71","N","0","Oklahoma","ETSU","01","16"
"1989","136","1373","80","1390","78","N","0","Siena","Stanford","14","03"
"1989","136","1424","68","1225","56","N","0","UNLV","Idaho","04","13"
"1989","136","1438","100","1344","97","N","0","Virginia","Providence","05","12"
"1989","136","1452","84","1397","68","N","0","West Virginia","Tennessee","07","10"
"1989","137","1161","68","1196","46","N","0","Colorado St","Florida","10","07"
"1989","137","1191","94","1333","90","N","1","Evansville","Oregon St","11","06"
"1989","137","1207","50","1343","49","N","0","Georgetown","Princeton","01","16"
"1989","137","1231","99","1206","85","N","0","Indiana","George Mason","02","15"
"1989","137","1234","87","1353","73","N","0","Iowa","Rutgers","04","13"
"1989","137","1276","92","1462","87","N","0","Michigan","Xavier","03","14"
"1989","137","1281","85","1166","69","N","0","Missouri","Creighton","03","14"
"1989","137","1301","81","1376","66","N","0","NC State","South Carolina","05","12"
"1989","137","1314","93","1380","79","N","0","North Carolina","Southern Univ","02","15"
"1989","137","1323","81","1435","65","N","0","Notre Dame","Vanderbilt","09","08"
"1989","137","1371","60","1283","51","N","0","Seton Hall","Missouri St","03","14"
"1989","137","1375","86","1104","84","N","0","South Alabama","Alabama","11","06"
"1989","137","1393","104","1137","81","N","0","Syracuse","Bucknell","02","15"
"1989","137","1400","76","1210","70","N","0","Texas","Georgia Tech","11","06"
"1989","137","1417","84","1235","74","N","0","UCLA","Iowa St","07","10"
"1989","137","1431","85","1261","74","N","0","UTEP","LSU","07","10"
"1989","138","1112","94","1155","68","N","0","Arizona","Clemson","01","09"
"1989","138","1181","70","1452","63","N","0","Duke","West Virginia","02","07"
"1989","138","1228","72","1123","60","N","0","Illinois","Ball St","01","09"
"1989","138","1257","93","1116","84","N","0","Louisville","Arkansas","04","05"
"1989","138","1278","80","1373","67","N","0","Minnesota","Siena","11","14"
"1989","138","1328","124","1256","81","N","0","Oklahoma","Louisiana Tech","01","09"
"1989","138","1424","85","1177","70","N","0","UNLV","DePaul","04","12"
"1989","138","1438","104","1292","88","N","0","Virginia","MTSU","05","13"
"1989","139","1207","81","1323","74","N","0","Georgetown","Notre Dame","01","09"
"1989","139","1231","92","1431","69","N","0","Indiana","UTEP","02","07"
"1989","139","1276","91","1375","82","N","0","Michigan","South Alabama","03","11"
"1989","139","1281","108","1400","89","N","0","Missouri","Texas","03","11"
"1989","139","1301","102","1234","96","N","1","NC State","Iowa","05","04"
"1989","139","1314","88","1417","81","N","0","North Carolina","UCLA","02","07"
"1989","139","1371","87","1191","73","N","0","Seton Hall","Evansville","03","11"
"1989","139","1393","65","1161","50","N","0","Syracuse","Colorado St","02","10"
"1989","143","1276","92","1314","87","N","0","Michigan","North Carolina","03","02"
"1989","143","1371","78","1231","65","N","0","Seton Hall","Indiana","03","02"
"1989","143","1424","68","1112","67","N","0","UNLV","Arizona","04","01"
"1989","143","1438","86","1328","80","N","0","Virginia","Oklahoma","05","01"
"1989","144","1181","87","1278","70","N","0","Duke","Minnesota","02","11"
"1989","144","1207","69","1301","61","N","0","Georgetown","NC State","01","05"
"1989","144","1228","83","1257","69","N","0","Illinois","Louisville","01","04"
"1989","144","1393","83","1281","80","N","0","Syracuse","Missouri","02","03"
"1989","145","1276","102","1438","65","N","0","Michigan","Virginia","03","05"
"1989","145","1371","84","1424","61","N","0","Seton Hall","UNLV","03","04"
"1989","146","1181","85","1207","77","N","0","Duke","Georgetown","02","01"
"1989","146","1228","89","1393","86","N","0","Illinois","Syracuse","01","02"
"1989","152","1276","83","1228","81","N","0","Michigan","Illinois","03","01"
"1989","152","1371","95","1181","78","N","0","Seton Hall","Duke","03","02"
"1989","154","1276","80","1371","79","N","1","Michigan","Seton Hall","03","03"
"1990","136","1116","68","1343","64","N","0","Arkansas","Princeton","04","13"
"1990","136","1123","54","1333","53","N","0","Ball St","Oregon St","12","05"
"1990","136","1143","65","1231","63","N","0","California","Indiana","09","08"
"1990","136","1155","49","1140","47","N","0","Clemson","BYU","05","12"
"1990","136","1163","76","1131","52","N","0","Connecticut","Boston Univ","01","16"
"1990","136","1173","88","1228","86","N","0","Dayton","Illinois","12","05"
"1990","136","1210","99","1190","83","N","0","Georgia Tech","ETSU","04","13"
"1990","136","1247","79","1379","63","N","0","La Salle","Southern Miss","04","13"
"1990","136","1257","78","1225","59","N","0","Louisville","Idaho","04","13"
"1990","136","1261","70","1437","63","N","0","LSU","Villanova","05","12"
"1990","136","1277","75","1293","71","N","1","Michigan St","Murray St","01","16"
"1990","136","1314","83","1283","70","N","0","North Carolina","Missouri St","08","09"
"1990","136","1326","84","1344","83","N","1","Ohio St","Providence","08","09"
"1990","136","1328","77","1406","68","N","0","Oklahoma","Towson","01","16"
"1990","136","1364","70","1222","66","N","0","Santa Barbara","Houston","09","08"
"1990","136","1424","102","1114","72","N","0","UNLV","Ark Little Rock","01","16"
"1990","137","1104","71","1161","54","N","0","Alabama","Colorado St","07","10"
"1990","137","1112","79","1378","67","N","0","Arizona","South Florida","02","15"
"1990","137","1181","81","1350","46","N","0","Duke","Richmond","03","14"
"1990","137","1207","70","1411","52","N","0","Georgetown","TX Southern","03","14"
"1990","137","1242","79","1352","71","N","0","Kansas","Robert Morris","02","15"
"1990","137","1258","111","1308","92","N","0","Loy Marymount","New Mexico St","11","06"
"1990","137","1276","76","1229","70","N","0","Michigan","Illinois St","03","14"
"1990","137","1278","64","1431","61","N","1","Minnesota","UTEP","06","11"
"1990","137","1320","74","1281","71","N","0","Northern Iowa","Missouri","14","03"
"1990","137","1345","75","1419","63","N","0","Purdue","ULM","02","15"
"1990","137","1385","81","1396","65","N","0","St John's","Temple","06","11"
"1990","137","1393","70","1164","48","N","0","Syracuse","Coppin St","02","15"
"1990","137","1400","100","1208","88","N","0","Texas","Georgia","10","07"
"1990","137","1417","68","1412","56","N","0","UCLA","UAB","07","10"
"1990","137","1438","75","1323","67","N","0","Virginia","Notre Dame","07","10"
"1990","137","1462","87","1243","79","N","0","Xavier","Kansas St","06","11"
"1990","138","1116","86","1173","84","N","0","Arkansas","Dayton","04","12"
"1990","138","1123","62","1257","60","N","0","Ball St","Louisville","12","04"
"1990","138","1155","79","1247","75","N","0","Clemson","La Salle","05","04"
"1990","138","1163","74","1143","54","N","0","Connecticut","California","01","09"
"1990","138","1210","94","1261","91","N","0","Georgia Tech","LSU","04","05"
"1990","138","1277","62","1364","58","N","0","Michigan St","Santa Barbara","01","09"
"1990","138","1314","79","1328","77","N","0","North Carolina","Oklahoma","08","01"
"1990","138","1424","76","1326","65","N","0","UNLV","Ohio St","01","08"
"1990","139","1104","77","1112","55","N","0","Alabama","Arizona","07","02"
"1990","139","1181","76","1385","72","N","0","Duke","St John's","03","06"
"1990","139","1258","149","1276","115","N","0","Loy Marymount","Michigan","11","03"
"1990","139","1278","81","1320","78","N","0","Minnesota","Northern Iowa","06","14"
"1990","139","1393","63","1438","61","N","0","Syracuse","Virginia","02","07"
"1990","139","1400","73","1345","72","N","0","Texas","Purdue","10","02"
"1990","139","1417","71","1242","70","N","0","UCLA","Kansas","07","02"
"1990","139","1462","74","1207","71","N","0","Xavier","Georgetown","06","03"
"1990","143","1116","96","1314","73","N","0","Arkansas","North Carolina","04","08"
"1990","143","1163","71","1155","70","N","0","Connecticut","Clemson","01","05"
"1990","143","1181","90","1417","81","N","0","Duke","UCLA","03","07"
"1990","143","1400","102","1462","89","N","0","Texas","Xavier","10","06"
"1990","144","1210","81","1277","80","N","1","Georgia Tech","Michigan St","04","01"
"1990","144","1258","62","1104","60","N","0","Loy Marymount","Alabama","11","07"
"1990","144","1278","82","1393","75","N","0","Minnesota","Syracuse","06","02"
"1990","144","1424","69","1123","67","N","0","UNLV","Ball St","01","12"
"1990","145","1116","88","1400","85","N","0","Arkansas","Texas","04","10"
"1990","145","1181","79","1163","78","N","1","Duke","Connecticut","03","01"
"1990","146","1210","93","1278","91","N","0","Georgia Tech","Minnesota","04","06"
"1990","146","1424","131","1258","101","N","0","UNLV","Loy Marymount","01","11"
"1990","152","1181","97","1116","83","N","0","Duke","Arkansas","03","04"
"1990","152","1424","90","1210","81","N","0","UNLV","Georgia Tech","01","04"
"1990","154","1424","103","1181","73","N","0","UNLV","Duke","01","03"
"1991","136","1112","93","1384","80","N","0","Arizona","St Francis PA","02","15"
"1991","136","1140","61","1438","48","N","0","BYU","Virginia","10","07"
"1991","136","1163","79","1261","62","N","0","Connecticut","LSU","11","06"
"1991","136","1166","64","1308","56","N","0","Creighton","New Mexico St","11","06"
"1991","136","1181","102","1419","73","N","0","Duke","ULM","02","15"
"1991","136","1199","75","1425","72","N","0","Florida St","USC","07","10"
"1991","136","1231","79","1157","69","N","0","Indiana","Coastal Car","02","15"
